horizon,Model,Stacja,Zmienne,MAPE,BIAS
Forecast_-22D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.17277780750340008,-22.779685632910738
Forecast_-23D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.1738461189477111,-23.25164428577486
Forecast_-24D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.17361674129431828,-23.783057473593672
Forecast_-25D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.17355258227138456,-24.272289582555814
Forecast_-26D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.17540358234026296,-24.72902810312605
Forecast_-27D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.17659097528987597,-25.257971285969724
Forecast_-28D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.1776564140583159,-25.825702602104894
Forecast_-29D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.1793855729996723,-26.29190263127576
Forecast_-30D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.18166864000108063,-26.659953942811683
Forecast_-1D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.05663753412006092,-3.40291251468565
Forecast_-2D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.08519819290028671,-7.314505104374495
Forecast_-3D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.09872197214195008,-9.618541659021107
Forecast_-4D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.11116333457220734,-11.194819953921359
Forecast_-5D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1206956734505507,-12.51339574409663
Forecast_-6D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.12758649036215303,-13.906498509581589
Forecast_-7D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.13186932881040775,-15.160560792703254
Forecast_-8D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.13427415256232886,-16.117001167249004
Forecast_-9D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.13993992721066362,-16.76173623149973
Forecast_-10D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.14371833466574654,-17.266762487410592
Forecast_-11D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.14669697433890802,-17.64760843155719
Forecast_-12D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.14883361362511663,-18.01315244369296
Forecast_-13D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1524192882595072,-18.430416732433812
Forecast_-14D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.15622647378752355,-18.87688757815494
Forecast_-15D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.15851409629496246,-19.416651481810653
Forecast_-16D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.16044881975230182,-20.031703629092373
Forecast_-17D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1650063966978268,-20.466807388743494
Forecast_-18D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1682154845982326,-20.865333251067828
Forecast_-19D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.17016208479459133,-21.336595787347118
